epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2427.01,1.57566,2.48248,1.5354,0.55517,0.1009,0.07473,0.03708,1.72196,2.54066,1.69474,0.0670412,0.000332917,0.000332917
2,4788.01,1.59687,2.25769,1.57065,0.46729,0.12482,0.08872,0.04691,1.66464,2.23217,1.65377,0.0340193,0.000644264,0.000644264
3,7361.08,1.59225,2.19547,1.57328,0.53211,0.12378,0.09189,0.04846,1.66233,2.23387,1.64986,0.000975278,0.000933611,0.000933611
4,9889.35,1.56277,2.14897,1.56176,0.48094,0.14095,0.1142,0.05992,1.6213,2.12593,1.6408,0.000901,0.000901,0.000901
5,12239.3,1.5427,2.08214,1.55157,0.43059,0.17462,0.12156,0.06798,1.59322,2.00398,1.60253,0.000868,0.000868,0.000868
6,14567.1,1.51926,2.00782,1.52337,0.3874,0.15949,0.12903,0.07277,1.589,2.06325,1.57615,0.000835,0.000835,0.000835
7,16902.8,1.49514,1.97582,1.50936,0.66748,0.15243,0.15228,0.0849,1.57405,1.90384,1.56185,0.000802,0.000802,0.000802
8,19233.3,1.47672,1.93377,1.5002,0.55658,0.15946,0.15506,0.08911,1.53634,1.87242,1.5371,0.000769,0.000769,0.000769
9,21535,1.45627,1.90181,1.4854,0.45483,0.20144,0.18062,0.10935,1.51929,1.78263,1.51683,0.000736,0.000736,0.000736
10,23892.5,1.44945,1.84708,1.47594,0.22359,0.2632,0.19856,0.11996,1.50148,1.71352,1.5209,0.000703,0.000703,0.000703
11,26196.6,1.43468,1.82686,1.46765,0.43341,0.21728,0.18821,0.11286,1.49526,1.80002,1.51157,0.00067,0.00067,0.00067
12,28465.1,1.40987,1.79125,1.45527,0.7038,0.16339,0.19514,0.11999,1.47149,1.71097,1.48873,0.000637,0.000637,0.000637
13,30761.6,1.38732,1.7681,1.44618,0.35321,0.26081,0.20341,0.123,1.48912,1.69026,1.49423,0.000604,0.000604,0.000604
14,33054.3,1.3955,1.7395,1.44356,0.44731,0.26556,0.22657,0.13996,1.47671,1.64405,1.49377,0.000571,0.000571,0.000571
15,35341.5,1.37514,1.71117,1.4257,0.52714,0.21039,0.21134,0.12912,1.48107,1.62619,1.49183,0.000538,0.000538,0.000538
16,37637.5,1.36395,1.68382,1.4216,0.33421,0.29823,0.22666,0.14422,1.45046,1.62074,1.4799,0.000505,0.000505,0.000505
17,39917.5,1.35414,1.64659,1.41415,0.44462,0.2667,0.24687,0.15862,1.43948,1.58596,1.45029,0.000472,0.000472,0.000472
18,42196,1.34566,1.6314,1.40717,0.32972,0.33708,0.2695,0.1702,1.44121,1.55679,1.45955,0.000439,0.000439,0.000439
19,44479.3,1.3323,1.59816,1.39295,0.37281,0.32242,0.25285,0.15919,1.42976,1.59778,1.45071,0.000406,0.000406,0.000406
20,46776.5,1.31143,1.57373,1.38505,0.40531,0.32606,0.27802,0.17447,1.43603,1.53136,1.46527,0.000373,0.000373,0.000373
21,49048.3,1.31768,1.47906,1.40476,0.37969,0.35601,0.28039,0.18264,1.43458,1.51672,1.45337,0.00034,0.00034,0.00034
22,51314.2,1.31168,1.42093,1.39618,0.40411,0.31336,0.27119,0.17914,1.41198,1.54458,1.43982,0.000307,0.000307,0.000307
23,53576.1,1.29031,1.40269,1.38187,0.47801,0.33042,0.28838,0.19018,1.39437,1.49583,1.43113,0.000274,0.000274,0.000274
24,55843.5,1.2771,1.36616,1.37982,0.35756,0.32292,0.27629,0.18344,1.3923,1.48225,1.43408,0.000241,0.000241,0.000241
25,58200.5,1.26745,1.33145,1.3682,0.54401,0.30667,0.28766,0.1908,1.38942,1.46847,1.42026,0.000208,0.000208,0.000208
26,60532.7,1.25488,1.29261,1.35278,0.3963,0.35186,0.2958,0.19665,1.40555,1.46366,1.42989,0.000175,0.000175,0.000175
27,62845.1,1.24273,1.2816,1.34998,0.43722,0.36055,0.33146,0.22587,1.38363,1.43327,1.4136,0.000142,0.000142,0.000142
28,65178.9,1.22539,1.25243,1.33962,0.38363,0.33807,0.29864,0.19668,1.39312,1.44622,1.42342,0.000109,0.000109,0.000109
29,67533.9,1.21006,1.22619,1.32422,0.4064,0.32394,0.3142,0.20781,1.38929,1.43268,1.42063,7.6e-05,7.6e-05,7.6e-05
30,69886.3,1.21334,1.20365,1.32273,0.48754,0.32801,0.3215,0.21648,1.37696,1.42192,1.40747,4.3e-05,4.3e-05,4.3e-05
